texto,categoria_ham10000,etiqueta_urgencia,tipo_fuente,fuente_detalle,split
"Mujer, 44 años, con antecedentes de exéresis de melanoma cutáneo maligno nodular en hombro izquierdo (Breslow: 3,9 mm; nivel IV de Clark; pT3bN0M0) en 1998. Los controles cada 6 meses fueron negativos hasta que a los 5 años ingresó por oclusión intestinal, confirmándose metástasis de melanoma con positividad para HMB-45 y proteína S-100.",mel,urgente,real,SPACCC/CodiEsp S1130-01082005000500013-1 (CC BY 4.0),train
"Tengo un lunar en la espalda que ha cambiado de color en desde la infancia, ahora con bordes irregulares y varios tonos de café y negro.",mel,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
"Tengo un lunar en el abdomen que ha cambiado de color en varios años, ahora con bordes irregulares y varios tonos de café y negro.",mel,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Lesión pigmentada de bordes ligeramente verrucosos en región perianal, resistente a tratamiento tópico con corticoides durante 9 meses. La biopsia informó hiperqueratosis y paraqueratosis compatibles con papilomatosis bowenoide (neoplasia intraepitelial).",akiec,urgente,real,SPACCC S1130-01082009000600013-1 (CC BY 4.0),train
"Tengo una placa áspera y descamativa en la pierna desde hace medio año, no duele pero se siente rasposa al tacto.",akiec,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
"Tengo una placa áspera y descamativa en el cuero cabelludo desde hace varios años, no duele pero se siente rasposa al tacto.",akiec,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Nódulo indurado en párpado superior, inicialmente filiado como chalazión refractario, con adenopatía preauricular ipsilateral. La biopsia confirmó carcinoma sebáceo, requiriendo exéresis completa y vaciamiento cervical.",bcc,urgente,real,CodiEsp S0365-66912010000200005-1 (CC BY 4.0),train
Tengo una lesión rosada con bordes elevados en el cuero cabelludo que sangra un poco al rozarla y no cicatriza desde hace cerca de un año.,bcc,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
Tengo una lesión rosada con bordes elevados en la espalda que sangra un poco al rozarla y no cicatriza desde hace cerca de un año.,bcc,urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Tengo varias manchas cafés con superficie rugosa como verruga en el cuero cabelludo, llevan medio año sin cambiar.",bkl,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
"Me han salido manchas oscuras y ásperas en el cuello, parecen pegadas a la piel, no duelen ni pican desde hace unas pocas semanas.",bkl,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Me han salido manchas oscuras y ásperas en la pantorrilla, parecen pegadas a la piel, no duelen ni pican desde hace unas pocas semanas.",bkl,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Me han salido varios lunares redondos y de un solo color en la mano, no han cambiado en dos meses.",nv,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
"Tengo un lunar café parejo y pequeño en el brazo desde hace cerca de un año, siempre ha sido igual de tamaño y color.",nv,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Me han salido varios lunares redondos y de un solo color en el brazo, no han cambiado en unas pocas semanas.",nv,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Lesión pediculada de 1 cm en borde palpebral, de un año de evolución, sin dolor ni sangrado. El diagnóstico histopatológico fue pilomatricoma, una masa benigna encapsulada sin recidiva tras 4 años de seguimiento.",df,no_urgente,real,CodiEsp S0365-66912006000800010-1 (CC BY 4.0),train
"Me salió un bultico firme bajo la piel en el antebrazo, no crece ni duele, lleva ahí dos meses.",df,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
"Me salió un bultico firme bajo la piel en el hombro, no crece ni duele, lleva ahí desde la infancia.",df,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",train
"Mancha azulada congénita en región nasoorbitaria que creció rápidamente durante el primer mes de vida hasta formar una masa pedunculada de 4 cm. Se trató con corticoide intralesional y posterior exéresis del hemangioma fibrosado, con evolución postoperatoria satisfactoria.",vasc,no_urgente,real,SPACCC S1130-05582008000400007-2 (CC BY 4.0),train
"Tengo unas manchitas rojo intenso en la espalda, parecen puntos de sangre bajo la piel, no duelen ni cambian desde hace varios años.",vasc,no_urgente,sintetico,"Generado por el equipo con plantillas basadas en criterios clínicos reales (ABCDE, aspecto perlado, etc.)",test
